,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-08-01,0.0871310507674144,0.2131641086186541,0,1,4028.47207166,4109.02106516,3996.95525626,4030.84799935,5306593305.067229,70422743854.2439
2019-08-02,0.045559388528138525,0.2870332792207792,0,1,3401.37643333,3695.61397521,3391.02375248,3666.78035061,7735623101.05035,64270269952.7511
2019-08-03,-0.008922558922558924,0.1685185185185185,0,0,3913.22593587,3950.43223806,3875.22842393,3901.13162355,10638638944.001,68574579320.2148
2019-08-04,0.03378496503496505,0.39343919968919966,0,1,5199.83537777,5318.83648777,5148.21181354,5289.77104039,17154113634.3214,93286365973.0142
2019-08-05,0.16620370370370371,0.3444444444444444,0,1,5849.48135039,5989.98114696,5794.71564865,5982.45732286,15320605299.5998,105829143585.149
2019-08-06,0.11313636363636363,0.26345454545454544,0,1,8036.774936,8076.89110147,7837.61096128,7954.12772355,16522722809.9052,141172841635.462
2019-08-07,0.0578698752228164,0.32053407376936793,0,1,11446.597155299998,12345.8331464,11393.3743129,12285.958217,23482551458.3087,218778355444.30603
2019-08-08,0.05073051948051947,0.2344112554112554,0,1,11954.0403364,11979.4201746,11556.168450799998,11966.407405,19481591729.5165,213788089212.212
2019-08-09,-0.003154761904761904,0.07101190476190475,0,0,10518.1141171,10595.638080399998,10409.091259,10441.275979,13670567492.7551,187150078006.707
2019-08-10,0.08571072567783093,0.2922248803827751,0,1,8246.84962925,8332.71517142,8185.7629675,8228.7831528,15592264032.1241,147966069981.65198
2019-08-11,-0.04370370370370371,0.22703703703703706,0,1,9265.36833744,9272.75941894,8775.53408279,8804.88071936,24333037836.1548,158808570728.683
2019-08-12,-0.16558554292929295,0.3439236111111111,0,1,7551.33900507,7634.60664192,7476.09125491,7564.345403200001,15409908086.2037,136847419895.976
2019-08-13,0.021570972886762362,0.1584529505582137,0,0,11385.0524972,11420.0498609,10830.326914399999,10895.830435799999,16681503536.9668,194762696644.16397
2019-08-14,0.01883417508417509,0.1832807239057239,0,0,10889.4877427,10889.5569207,10028.135363500001,10051.703931299999,19990838299.8764,179692803424.26
2019-08-15,-0.00706168831168831,0.1773538961038961,0,0,10038.4217089,10437.410650700001,9675.3164202,10311.545429,22899115082.1403,184357666577.279
2019-08-16,0.030368777056277052,0.21218759018759017,0,1,10319.4203458,10524.3498284,9855.47883007,10374.3393471,20228207096.3622,185500055338.79602
2019-08-17,-0.013948372615039274,0.17920089786756452,0,0,10358.7225407,10452.624692399999,10086.697960299998,10231.7438454,13778035685.0204,182966857173.0
